Order,Event,Name,MMA Record,UFC Record,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Fight Minutes,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Distance %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Controlled %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control Rate,TAKEDOWN EFFICIENCY_Landed,TAKEDOWN EFFICIENCY_Attempted,TAKEDOWN EFFICIENCY_Accuracy,TAKEDOWN EFFICIENCY_Conceded,TAKEDOWN EFFICIENCY_Defended,TAKEDOWN EFFICIENCY_Faced,TAKEDOWN EFFICIENCY_Defense,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Landed,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Attempted,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Conceded,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Faced,CLINCH + GROUND STRIKING PREVALENCE_% of Time,CLINCH + GROUND STRIKING PREVALENCE_% of Strikes,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Landed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Absorbed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Differential,CLINCH + GROUND STRIKING EFFICIENCY_Accuracy,CLINCH + GROUND STRIKING EFFICIENCY_Defense,CLINCH STRIKING_% of Strikes Landed,CLINCH STRIKING_Accuracy,CLINCH STRIKING_% of Strikes Absorbed,CLINCH STRIKING_Defense,GROUND STRIKING_% of Strikes Landed,GROUND STRIKING_Accuracy,GROUND STRIKING_% of Strikes Absorbed,GROUND STRIKING_Defense,SUBMISSION ATTEMPTS_Attempts,SUBMISSION ATTEMPTS_per 5 Control Minutes,SUBMISSION ATTEMPTS_Success Rate,SUBMISSION ATTEMPTS_Attempts Faced,SUBMISSION ATTEMPTS_per 5 Controlled Minutes,SUBMISSION ATTEMPTS_Defense Rate,REVERSALS_Secured,REVERSALS_per 5 Controlled Minutes,REVERSALS_Conceded,REVERSALS_per 5 Control Minutes
06a,UFC FN: Du Plessis vs. Usman,Austin Bashi,14-1-0,1-1-0,19,36%,46%,18%,72%,4,19,21%,2,2,4,50%,3.0,14.1,1.5,3.0,64%,24%,0.5,1.0,-0.5,75%,25%,20%,83%,18%,33%,4%,50%,9%,0%,1,0.6,100%,2,3.0,100%,0,0.0,2,1.2
06b,UFC FN: Du Plessis vs. Usman,Jose Delgado,11-2-0,3-1-0,33,85%,7%,8%,45%,1,6,17%,8,5,13,38%,0.2,1.1,1.4,2.3,15%,22%,11.5,2.4,9.1,77%,37%,10%,76%,4%,30%,12%,78%,3%,44%,0,0.0,,0,0.0,,0,0.0,1,2.2
07a,UFC FN: Du Plessis vs. Usman,Jean-Paul Lebosnoyani,10-2-0,1-0-0,15,63%,35%,2%,95%,3,9,33%,0,0,0,,1.6,4.8,0.0,0.0,37%,29%,3.4,0.7,2.7,79%,0%,9%,60%,7%,0%,20%,93%,0%,,2,1.9,0%,0,0.0,,0,0.0,0,0.0
07b,UFC FN: Du Plessis vs. Usman,Seokhyeon Ko,13-2-0,2-0-0,30,16%,78%,6%,93%,10,13,77%,0,2,2,100%,10.6,13.7,0.0,2.1,84%,62%,1.7,0.0,1.7,78%,0%,4%,50%,7%,0%,58%,82%,0%,,1,0.2,0%,0,0.0,,0,0.0,1,0.2
08a,UFC FN: Du Plessis vs. Usman,Levi Rodrigues Jr.,5-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08b,UFC FN: Du Plessis vs. Usman,Felipe Franco,10-2-0,0-1-0,15,58%,0%,42%,0%,0,1,0%,2,12,14,86%,0.0,0.6,1.1,8.0,42%,38%,1.3,2.2,-1.0,89%,13%,38%,89%,38%,13%,0%,,3%,0%,0,,,0,0.0,,0,0.0,0,
09a,UFC FN: Du Plessis vs. Usman,Alden Coria,12-3-0,2-0-0,26,70%,19%,11%,65%,3,6,50%,2,5,7,71%,0.8,1.7,0.6,1.9,30%,18%,2.8,0.6,2.2,85%,50%,5%,86%,8%,50%,13%,84%,0%,,0,0.0,,2,3.6,100%,2,3.6,0,0.0
09b,UFC FN: Du Plessis vs. Usman,Stewart Nicoll,8-3-0,0-3-0,28,76%,13%,11%,55%,3,26,12%,5,2,7,29%,0.7,6.2,1.2,1.7,24%,6%,0.9,2.6,-1.7,38%,32%,0%,0%,7%,33%,6%,46%,3%,29%,0,0.0,,1,1.7,0%,0,0.0,0,0.0
10a,UFC FN: Du Plessis vs. Usman,RJ Harris,5-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10b,UFC FN: Du Plessis vs. Usman,Alvin Hines,7-1-0,0-1-0,15,99%,1%,0%,100%,1,10,10%,0,0,0,,0.3,3.4,0.0,0.0,1%,2%,24.0,12.0,12.0,67%,67%,2%,67%,1%,67%,0%,,0%,,0,0.0,,0,,,0,,0,0.0
