fight_id,event_date,weight_class,is_title_bout,is_main_event,a_name,b_name,a_archetype,b_archetype,a_short_notice,b_short_notice,a_long_layoff,b_long_layoff,a_age,b_age,a_ufc_fights,b_ufc_fights,a_win_rate_l3,b_win_rate_l3,a_finish_rate,b_finish_rate,a_recent_1,b_recent_1,prob_a,confidence,confidence_bucket,model_pick,a_won,correct,fav_hit,fm_blend_a,fm_blend_b,fm_prob_a,fm_pick,fm_correct,v2_fm_agree,ensemble_prob_a,ensemble_pick,ensemble_correct
44cfbb8c3c356c65,2026-06-06,Featherweight,0,0,Joanderson Brito,Jordan Leavitt,Sub Specialist,Sub Specialist,0,0,0,0,31.3,31.0,9,10,0.3333,0.6667,0.8333,0.7143,W,W,0.4822,0.5178,tossup (50-55%),B,1,0,0,1858.8500000000001,1659.9,0.7586419224001377,A,1.0,False,0.6204209612000688,A,1.0
44d58943ac8e47e1,2026-02-28,Catch Weight,0,0,Ernesta Kareckaite,Regina Tarin,Volume Striker,Point Fighter,0,0,0,0,27.7,21.4,2,0,0.5,0.0,0.0,0.0,W,,0.5462,0.5462,tossup (50-55%),A,0,0,0,1203.75,1456.0500000000002,0.18963930967534506,B,1.0,False,0.3679196548376725,B,1.0
46181797eb543a0b,2026-05-02,Middleweight,0,0,Cam Rowston,Robert Bryczek,Volume Striker,Volume Striker,0,0,0,0,31.3,35.8,2,2,1.0,0.5,1.0,1.0,W,W,0.687,0.687,med (60-70%),A,1,1,1,,,,TIE,,False,,B,
48b1ee7ab45add4c,2026-06-27,Light Heavyweight,0,0,Abdul Rakhman Yakhyaev,Julius Walker,Sub Specialist,Wrestler,0,0,0,0,25.5,26.9,2,3,1.0,0.3333,1.0,0.0,W,L,0.7161,0.7161,high (>=70%),A,1,1,1,1751.8000000000002,1453.15,0.8480215862582303,A,1.0,True,0.7820607931291151,A,1.0
48cb604345f11766,2026-05-16,Middleweight,0,0,Andre Petroski,Cody Brundage,Wrestler,Volume Striker,0,0,0,0,34.9,32.0,12,16,0.3333,0.0,0.375,0.8,L,L,0.5909,0.5909,lean (55-60%),A,0,0,0,1427.65,1498.3500000000001,0.39963602157944034,B,1.0,False,0.49526801078972016,B,1.0
4e58bcc0d27042fd,2026-03-21,Featherweight,0,0,Danny Silva,Kurtis Campbell,Volume Striker,Point Fighter,0,0,0,0,29.1,23.6,3,0,0.6667,0.0,0.0,0.0,L,,0.5714,0.5714,lean (55-60%),A,1,1,1,1572.1000000000001,1464.1000000000001,0.6506046279338725,A,1.0,True,0.6110023139669363,A,1.0
508e622130b0a84d,2026-02-21,Welterweight,0,0,Jean-Paul Lebosnoyani,Phil Rowe,Point Fighter,Volume Striker,0,0,0,0,27.1,35.6,0,9,0.0,0.3333,0.0,1.0,,L,0.5071,0.5071,tossup (50-55%),A,1,1,1,1562.5,1600.3500000000001,0.445743941511967,B,0.0,False,0.47642197075598347,B,0.0
54437b8dba3a6110,2026-02-21,Welterweight,0,0,Jacobe Smith,Josiah Harrell,Sub Specialist,Point Fighter,0,0,0,0,30.1,27.3,2,0,1.0,0.0,1.0,0.0,W,,0.7382,0.7382,high (>=70%),A,1,1,1,1758.4500000000003,1610.5,0.7009170650639158,A,1.0,True,0.7195585325319579,A,1.0
562d916f55918901,2026-03-21,Middleweight,0,0,Christian Leroy Duncan,Roman Dolidze,Volume Striker,Volume Striker,0,0,0,0,30.7,37.7,8,13,1.0,0.6667,0.8333,0.5556,W,L,0.6945,0.6945,med (60-70%),A,1,1,1,1939.25,1873.65,0.5932999022512517,A,1.0,True,0.6438999511256258,A,1.0
571a3eabff5c7ba7,2026-06-20,Featherweight,0,0,Andre Fili,Vinicius Oliveira,Volume Striker,Volume Striker,0,0,0,0,36.0,30.6,26,5,0.3333,0.6667,0.3077,0.25,L,L,0.3366,0.6634,med (60-70%),B,0,1,1,1558.0500000000002,1899.8500000000001,0.122651320116592,B,1.0,True,0.229625660058296,B,1.0
