fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Rei Tsuruya,Luis Gurule,BetOnline.ag,Over,2.5,1.57,2026-05-24,2026-05-30
Rei Tsuruya,Luis Gurule,BetOnline.ag,Under,2.5,2.53,2026-05-24,2026-05-30
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,2.1,2026-05-24,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,1.73,2026-05-24,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,1.5,2.1,2026-05-24,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,1.5,1.73,2026-05-24,2026-06-14
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-24,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-24,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-24,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-24,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-24,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-24,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.74,2026-05-24,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-24,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,1.97,2026-05-24,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-24,2026-07-12
Diego Lopes,Steve Garcia Jr.,1xBet,Over,2.5,2.2,2026-05-24,2026-06-14
Diego Lopes,Steve Garcia Jr.,1xBet,Under,2.5,1.63,2026-05-24,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,1.8,2026-05-24,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.95,2026-05-24,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,2.5,1.9,2026-05-24,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,2.5,1.84,2026-05-24,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Over,2.5,1.45,2026-05-24,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Under,2.5,2.65,2026-05-24,2026-06-14
Assem Ghanem,Mohammad Fahmi,BetOnline.ag,Over,2.5,1.87,2026-05-24,2026-05-24
Assem Ghanem,Mohammad Fahmi,BetOnline.ag,Under,2.5,1.95,2026-05-24,2026-05-24
Angela Hill,Jingnan Xiong,Pinnacle,Over,2.5,1.24,2026-05-24,2026-05-30
Angela Hill,Jingnan Xiong,Pinnacle,Under,2.5,4.1,2026-05-24,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Over,2.5,1.53,2026-05-24,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Under,2.5,2.55,2026-05-24,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Over,2.5,2.16,2026-05-24,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Under,2.5,1.65,2026-05-24,2026-05-30
Luis Felipe Dias,Yi Sak Lee,Pinnacle,Over,1.5,1.57,2026-05-24,2026-05-30
Luis Felipe Dias,Yi Sak Lee,Pinnacle,Under,1.5,2.43,2026-05-24,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Over,2.5,1.89,2026-05-24,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Under,2.5,1.93,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Over,2.5,1.41,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Under,2.5,2.96,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,Pinnacle,Over,2.5,1.79,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,Pinnacle,Under,2.5,2.04,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,Pinnacle,Over,1.5,2.63,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,Pinnacle,Under,1.5,1.5,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,Pinnacle,Over,4.5,1.79,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,Pinnacle,Under,4.5,2.04,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Pinnacle,Over,1.5,2.38,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Pinnacle,Under,1.5,1.59,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Over,2.5,2.13,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Under,2.5,1.73,2026-05-24,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Over,2.5,1.5,2026-05-24,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Under,2.5,2.48,2026-05-24,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Over,2.5,1.56,2026-05-24,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Under,2.5,2.46,2026-05-24,2026-05-30
Angela Hill,Jingnan Xiong,BetOnline.ag,Over,2.5,1.25,2026-05-25,2026-05-30
Angela Hill,Jingnan Xiong,BetOnline.ag,Under,2.5,4.16,2026-05-25,2026-05-30
Angela Hill,Jingnan Xiong,1xBet,Over,2.5,1.22,2026-05-25,2026-05-30
Angela Hill,Jingnan Xiong,1xBet,Under,2.5,4.0,2026-05-25,2026-05-30
Angela Hill,Jingnan Xiong,Pinnacle,Over,2.5,1.24,2026-05-25,2026-05-30
Angela Hill,Jingnan Xiong,Pinnacle,Under,2.5,4.1,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,BetOnline.ag,Over,2.5,1.54,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,BetOnline.ag,Under,2.5,2.61,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Over,2.5,1.5,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Under,2.5,2.48,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Over,2.5,1.53,2026-05-25,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Under,2.5,2.55,2026-05-25,2026-05-30
Meng Ding,José Henrique,1xBet,Over,2.5,2.25,2026-05-25,2026-05-30
Meng Ding,José Henrique,1xBet,Under,2.5,1.6,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,BetOnline.ag,Over,1.5,1.59,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,BetOnline.ag,Under,1.5,2.49,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Over,2.5,2.16,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Under,2.5,1.65,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,Pinnacle,Over,1.5,1.57,2026-05-25,2026-05-30
Luis Felipe Dias,Yi Sak Lee,Pinnacle,Under,1.5,2.43,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,BetOnline.ag,Over,2.5,1.83,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,BetOnline.ag,Under,2.5,2.0,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Over,2.5,1.52,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Under,2.5,2.43,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Over,2.5,1.89,2026-05-25,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Under,2.5,1.93,2026-05-25,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Over,2.5,1.41,2026-05-25,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Under,2.5,2.96,2026-05-25,2026-05-30
