fight_key,r_clv,b_clv,clv_diff_rb,r_movement_pct,b_movement_pct,movement_diff_rb,r_late,b_late,late_diff_rb,r_steam,b_steam,steam_diff_rb,r_vol,b_vol,vol_diff_rb
brian kelleher_ricky simon,5.2,-12.2,17.4,5.482637065926665,-11.029411764705888,16.51204883063255,0.012287500000000007,-0.11250000000000027,0.12478750000000027,-0.06571149999999992,-0.007333333333340075,-0.05837816666665985,0.13626511708361938,0.18491732386843535,-0.048652206784815966
brian kelleher_umar nurmagomedov,55.6,-25.2,80.8,125.06969696969699,-20.008756567425568,145.07845353712256,1.3272727272727005,-0.03522090909090014,1.3624936363636007,1.3198989898990003,-0.07937481060608009,1.3992738005050804,0.9919668450155138,0.0698646200228032,0.9221022249927106
brian melancon_kelvin gastelum,-21.2,38.0,-59.2,-17.489571010522386,61.111111111111114,-78.6006821216335,-0.1509649999999998,0.8250000000000002,-0.975965,-0.06092699999999973,0.31499999999999995,-0.3759269999999997,0.07127794210869165,0.34030317365549206,-0.2690252315468004
brian melancon_seth baczynski,-13.5,28.2,-41.7,-11.865295158225775,39.000000000000014,-50.86529515822579,0.0,0.07500000000000018,-0.07500000000000018,-0.07664208333333322,0.5395833333333337,-0.616225416666667,0.06052183577951387,0.32099176669459034,-0.2604699309150765
brian ortega_chan sung jung,-6.1,3.1,-9.2,-5.714285714285705,3.1838504267714507,-8.898136141057154,-0.0266666666666997,0.009700000000000042,-0.03636666666669974,-0.10699999999999976,0.04100699999998003,-0.1480069999999798,0.11756901046713307,0.044358009423644006,0.07321100104348907
brian ortega_clay guida,3.5,4.4,-0.9000000000000004,3.640040444893833,4.464285714285721,-0.8242452693918878,0.026650000000000063,-0.2250000000000001,0.25165000000000015,0.02504100000000009,-0.015000000000000124,0.040041000000000215,0.018829954892404792,0.1740150855529486,-0.1551851306605438
brian ortega_cub swanson,15.0,-13.2,28.2,18.035639287214256,-11.471428571428577,29.507067858642834,0.02813500000000002,-0.022070000000000034,0.050205000000000055,0.149127,-0.1685859999999999,0.3177129999999999,0.08867754699612522,0.09493604821668108,-0.006258501220555865
brian ortega_diego brandao,0.8,3.6,-2.8,0.6122448979591688,3.901330736773767,-3.2890858388145983,-0.18500000000000005,0.07433000000000001,-0.25933000000000006,-0.07199999999999962,0.04425600000000007,-0.11625599999999969,0.12101239605924675,0.039828623137135935,0.08118377292211082
brian ortega_diego lopes,18.5,-12.7,31.2,22.72727272727273,-11.165776684466323,33.89304941173906,0.2250000000000001,-0.07046666666660006,0.29546666666660015,0.18126666666668,-0.07492806666668006,0.25619473333336007,0.12492953124773258,0.04878280670902278,0.0761467245387098
brian ortega_frankie edgar,1.3,6.5,-5.2,1.3493800145878865,6.976744186046502,-5.627364171458615,0.10391499999999998,-0.25,0.353915,0.07063600000000014,-0.10699999999999976,0.1776359999999999,0.070933555698273,0.18723047294711403,-0.11629691724884103
