name,height,reach,age,rank,total_rounds,title_bouts,dias_inativo,wins,losses,win_streak,lose_streak,longest_win_streak,ko_wins,sub_wins,SLpM,sig_str_acc,td_avg,td_acc,sub_avg,ctrl_avg,kd_per_fight,head_ratio,body_ratio,leg_ratio,distance_ratio,clinch_ratio,ground_ratio,sig_pct_fade,td_fade,ctrl_fade,rev_avg,finish_rate,ko_rate,sub_rate,SApM,str_def,td_def,ufc_debut,win_rate_l5,win_rate_l3
Khalid Taha,165.1,175.26,30,,13,0,1353,1.0,5.0,0.0,4.0,1.0,1.0,0.0,2.6875891583452214,0.5,0.0,0.0,0.2,32.6,0.4,0.6815286624203821,0.1528662420382165,0.1656050955414012,0.7707006369426752,0.1019108280254777,0.1273885350318471,-0.2244444444444444,0.0,7.0,0.6,0.2,0.2,0.0,4.022824536376605,0.4522144522144522,0.6190476190476191,2018-07-22,0.6666666666666666,0.6666666666666666
Patrick Cote,180.34,180.34,37,,50,2,3327,10.0,11.0,0.0,2.0,4.0,4.0,0.0,2.782321602761312,0.4639166666666667,0.5,0.2,0.2,121.15,0.3,0.5938511326860841,0.1601941747572815,0.2459546925566343,0.5938511326860841,0.2087378640776699,0.1974110032362459,0.0639583333333333,0.4166666666666667,56.29166666666667,0.2,0.45,0.3,0.15,3.110977714414347,0.4823970037453183,0.4528301886792453,2010-05-08,0.6,0.6666666666666666
Daniil Donchenko,180.34,180.34,24,,1,1,100,2.0,0.0,2.0,0.0,2.0,1.0,0.0,8.764044943820224,0.57,1.0,0.3333333333333333,0.0,63.0,1.0,0.7435897435897436,0.2051282051282051,0.0512820512820512,0.5897435897435898,0.1538461538461538,0.2564102564102564,,,,0.0,1.0,1.0,0.0,2.2471910112359548,0.7222222222222222,0.75,2025-09-13,1.0,1.0
Raphael Pessoa Nunes,190.5,198.12,30,,1,0,2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-10,0.0,0.0
Maycee Barber,165.1,165.1,27,,34,0,51,10.0,3.0,0.0,1.0,7.0,4.0,0.0,4.291553133514986,0.5370833333333334,1.25,0.46875,0.0833333333333333,169.83333333333334,0.0,0.7238095238095238,0.1793650793650793,0.0968253968253968,0.473015873015873,0.3285714285714285,0.1984126984126984,-0.0012499999999999,2.0,104.5,0.5,0.3333333333333333,0.3333333333333333,0.0,2.670299727520436,0.570646221248631,0.4814814814814815,2018-11-10,1.0,1.0
Stephen Bass,175.26,185.0,29,,0,0,5280,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2011-12-03,,
Anthony Ivy,187.96,187.96,30,,1,0,2074,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,0.0,10.0,0.5652173913043479,1.0,2020-06-13,0.0,0.0
Niklas Stolze,185.42,187.96,29,,4,0,1444,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.293388429752066,0.4616666666666666,0.5,1.0,0.0,10.5,0.0,0.4594594594594595,0.1351351351351351,0.4054054054054054,0.918918918918919,0.027027027027027,0.054054054054054,0.1366666666666667,-1.0,-21.0,0.0,0.5,0.5,0.0,2.665289256198347,0.5222222222222221,0.6153846153846154,2020-07-25,0.0,0.0
Francisco Prado,177.8,175.26,23,,10,0,303,1.0,5.0,0.0,4.0,1.0,1.0,0.0,4.088426527958388,0.4979999999999999,0.8,0.1904761904761904,0.4,125.8,0.2,0.4961832061068702,0.2137404580152671,0.2900763358778626,0.816793893129771,0.0725190839694656,0.1106870229007633,0.0588888888888888,1.3333333333333333,180.0,0.2,0.2,0.2,0.0,4.946684005201561,0.5458452722063037,0.5,2023-02-11,0.3333333333333333,0.3333333333333333
Felipe Silva,182.88,195.58,34,,2,0,2921,1.0,2.0,0.0,2.0,1.0,1.0,0.0,4.203821656050955,0.22,0.0,0.0,0.0,2.0,0.5,0.5454545454545454,0.3636363636363636,0.0909090909090909,0.5454545454545454,0.2727272727272727,0.1818181818181818,-0.44,0.0,-4.0,0.0,1.0,1.0,0.0,4.203821656050955,0.3529411764705882,1.0,2016-08-27,0.5,0.5
Matt Lucas,185.42,185.0,38,,0,0,5301,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2011-11-12,,
Albert Cheng,180.34,179.07,29,,0,0,4461,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2014-03-01,,
Harry Hardwick,172.72,180.34,31,,1,0,65,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.388059701492537,0.34,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,1.0,0.0,0.0,,,,0.0,1.0,1.0,0.0,7.164179104477612,0.4,1.0,2025-09-06,0.0,0.0
Rolando Dy,172.72,175.26,27,,8,0,2886,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.35,0.3827777777777778,0.3333333333333333,0.2,0.0,68.0,0.3333333333333333,0.5319148936170213,0.3191489361702128,0.1489361702127659,0.723404255319149,0.202127659574468,0.0744680851063829,-0.0183333333333333,-1.0,37.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.95,0.5298804780876494,0.6470588235294117,2017-06-17,0.0,0.0
